,Date,City,County,State,latitude,longitude,o3_median,pressure_median,pm25_median,humidity_median,temperature_median,dew_median,no2_median,wind-speed_median,co_median,so2_median,pm10_median,wind-gust_median,day,month,year
40,1/1/2019,richmond,richmo,VA,37.54903226,-77.46258065,9.4,1012.9,21,74.6,16.9,7,1.8,2.2,0.1,0.1,0,7.3,1,1,2019
41,1/1/2019,sacramento,sacramento,CA,38.56990196,-121.4671569,0.1,1023.2,13,50,5.5,0,1.9,4.2,0,0,4,7.7,1,1,2019
42,1/1/2019,saint paul,ramsey,MN,44.97105263,-93.10394737,24.8,1028.5,21,74.2,-16.1,0,8.4,0.2,2.8,0,6,4,1,1,2019
43,1/1/2019,salem,marion,OR,44.93461538,-122.9984615,0,1030.7,77,95.5,-0.6,0,0,0.4,0,0,0,1.2,1,1,2019
44,1/1/2019,salt lake city,salt lake,UT,40.72436364,-111.8878182,21.6,1022.3,10,0,0,0,6.5,1.7,1.7,0,0,6.5,1,1,2019
45,1/1/2019,san antonio,bexar,TX,29.46241379,-98.51022989,12.8,1019.9,42,82,0,3,0,2.6,0,0,0,9,1,1,2019
46,1/1/2019,san diego,san diego,CA,32.77814815,-117.1317284,21.6,1018.2,55,30.1,7.2,0,8.4,1.4,2.4,0,0,6.1,1,1,2019
47,1/1/2019,san francisco,san francisco,CA,37.77015385,-122.4183077,24.8,1022.9,13,38.5,8,0,6.5,2,2.7,1.5,0,5,1,1,2019
48,1/1/2019,san jose,santa clara,CA,37.30894737,-121.8722807,24.8,1023.7,21,39.2,0,0,9.3,0,3.6,1.5,5,3,1,1,2019
49,1/1/2019,seattle,king,WA,47.59079365,-122.3257143,2.4,1029.6,63,87.1,1.1,1,13.9,0,4.4,1.5,0,1.7,1,1,2019
50,1/1/2019,springfield,sangamon,IL,39.78315789,-89.64184211,0,1024,49,92.5,1.1,1.6,0,2,0,0,0,4.8,1,1,2019
51,1/1/2019,staten island,richmond,NY,40.58857143,-74.15,18.4,1008.7,25,64.7,9.3,7.6,4.7,3.3,2.5,0,0,9.6,1,1,2019
52,1/1/2019,tallahassee,leon,FL,30.456,-84.2625,10.6,1020.3,26,90.2,19.4,20,0,2.2,0,0,0,3,1,1,2019
53,1/1/2019,tucson,pima,AZ,32.21703704,-110.9498148,24.8,1016,13,74.9,3.7,1,3.6,1.3,1.9,0.2,4,4.5,1,1,2019
54,1/2/2019,albuquerque,bernalillo,NM,35.1072093,-106.6172093,20.8,1021.3,40,48,4.1,0,16.7,0.8,3,1.5,40,1,2,1,2019
55,1/2/2019,atlanta,fulton,GA,33.7601087,-84.40282609,19.2,1025.8,55,58.8,4.3,0,30.6,1.8,7.7,1.5,20,3.1,2,1,2019
56,1/2/2019,austin,travis,TX,30.28333333,-97.75064103,16.8,1019.1,21,92.3,0,0,0,0.8,0,0,0,1.2,2,1,2019
57,1/2/2019,baltimore,baltimo,MD,39.30583333,-76.61041667,15.2,1030.7,57,62.5,0,0,16.7,0.6,0,1.5,15,1.7,2,1,2019
58,1/2/2019,boise,ada,ID,43.60454545,-116.2024242,5.6,1016.8,38,67,0.2,0,0,0.3,4.8,1.5,29,2,2,1,2019
59,1/2/2019,boston,suffolk,MA,42.35128205,-71.06205128,21.6,1026.3,46,0,0,0,9.3,0,2.9,1.5,0,12.6,2,1,2019
60,1/2/2019,brooklyn,kings,NY,40.65326923,-73.95653846,26.4,1029.9,43,40.2,-8.6,0,0,2,0,0,0,6.2,2,1,2019
61,1/2/2019,charlotte,mecklenburg,NC,35.19635135,-80.82810811,17.6,1025.7,45,0,0,0,0,0,2.4,1.5,0,1.3,2,1,2019
62,1/2/2019,chicago,cook,IL,41.85885057,-87.67643678,6.4,1025,33,78,-9,0,34.3,2,4.9,0,16,3.8,2,1,2019
63,1/2/2019,columbia,richland,SC,34.01181818,-81.01333333,16.8,1027.8,45,77.8,5.3,5,0,1,0,1.5,0,2.3,2,1,2019
64,1/2/2019,columbus,franklin,OH,39.98804348,-82.97978261,0,1026.1,40,85.9,-10.1,0,12.1,1,2.3,0,0,1.8,2,1,2019
65,1/2/2019,dallas,dallas,TX,32.79677966,-96.78355932,19.2,1019.2,27,0,0,12,0,3,0,0,0,5.2,2,1,2019
66,1/2/2019,denver,denver,CO,39.74446429,-104.9119643,9.4,1014.8,34,39.9,0,0,19.7,0,4.6,1.1,25,2.1,2,1,2019
67,1/2/2019,detroit,wayne,MI,42.37173913,-83.10043478,14.5,1029.7,45,64.8,0,0,0,0,0,4.3,15,1.4,2,1,2019
68,1/2/2019,el paso,el paso,TX,31.83372263,-106.4245985,18.4,1016.2,34,37.1,0,0,5.6,0,0,0,22,2.1,2,1,2019
69,1/2/2019,fort worth,tarrant,TX,32.75272727,-97.33181818,13.6,1019.7,25,0,0,11,0,2.3,0,0,0,3.5,2,1,2019
70,1/2/2019,fresno,fresno,CA,36.75683333,-119.7833333,15.2,1011.9,52,0,0,10,11.2,0,3,0,18,3.3,2,1,2019
71,1/2/2019,hartford,hartford,CT,41.76194444,-72.68055556,9.8,1024.3,32,0,0,0,6.4,1.2,2.6,0,21,2.1,2,1,2019
72,1/2/2019,honolulu,honolulu,HI,21.30465116,-157.8434884,18.4,1010.7,13,78.8,20.3,19,0,0.6,5.6,0,7,6.4,2,1,2019
73,1/2/2019,houston,harris,TX,29.76687831,-95.39687831,17.6,0,31,0,0,14,0,2.5,0,0,0,3.7,2,1,2019
74,1/2/2019,indianapolis,marion,IN,39.78666667,-86.14033333,16,1024.3,56,0,-1.5,0,14.9,1.1,2.7,1.5,22,2,2,1,2019
